route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,trip_short_name,direction_id,block_id,shape_id
63892,261920_7953,20589142_7953,Kraków MDA,0,,,,
63892,261920_7953,20589143_7953,Olkusz Dworzec PKP,0,,,,
63892,261920_7953,20589144_7953,Olkusz Dworzec PKP,0,,,,
63892,261920_7952,20589145_7952,Olkusz Dworzec PKP,0,,,,
63892,261920_7952,20589146_7952,Olkusz Dworzec PKP,0,,,,
63892,261920_7954,20589147_7954,Olkusz Dworzec PKP,0,,,,
63892,261920_7954,20589148_7954,Olkusz Dworzec PKP,0,,,,
119333,263076_7952,20669929_7952,Kraków MDA,0,,,,
119333,263076_7952,20669930_7952,Kraków MDA,0,,,,
119333,263076_7952,20669931_7952,Kraków MDA,0,,,,
119333,263076_7952,20669932_7952,Kraków MDA,0,,,,
119333,263076_7952,20669933_7952,Kraków MDA,0,,,,
119333,263076_7952,20669934_7952,Kraków MDA,0,,,,
119333,263076_7953,20669935_7953,Kraków MDA,0,,,,
119333,263076_7953,20669936_7953,Kraków MDA,0,,,,
119333,263076_7953,20669937_7953,Kraków MDA,0,,,,
119333,263076_7953,20669938_7953,Kraków MDA,0,,,,
119333,263076_7954,20669939_7954,Kraków MDA,0,,,,
119333,263076_7954,20669940_7954,Kraków MDA,0,,,,
119333,263076_7954,20669941_7954,Kraków MDA,0,,,,
119333,263076_7954,20669942_7954,Kraków MDA,0,,,,
119333,263076_7952,20669943_7952,Kęty ZML,0,,,,
119333,263076_7952,20669944_7952,Kęty ZML,0,,,,
119333,263076_7952,20669945_7952,Kęty ZML,0,,,,
119333,263076_7952,20669946_7952,Kęty ZML,0,,,,
119333,263076_7952,20669947_7952,Kęty ZML,0,,,,
119333,263076_7952,20669948_7952,Kęty ZML,0,,,,
119333,263076_7954,20669949_7954,Kęty ZML,0,,,,
119333,263076_7954,20669950_7954,Kęty ZML,0,,,,
119333,263076_7954,20669951_7954,Kęty ZML,0,,,,
119333,263076_7954,20669952_7954,Kęty ZML,0,,,,
119333,263076_7953,20669953_7953,Kęty ZML,0,,,,
119333,263076_7953,20669954_7953,Kęty ZML,0,,,,
119333,263076_7953,20669955_7953,Kęty ZML,0,,,,
119333,263076_7953,20669956_7953,Kęty ZML,0,,,,
79238,263077_7953,20669957_7953,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7953,20669958_7953,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7953,20669959_7953,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7953,20669960_7953,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7954,20669961_7954,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7954,20669962_7954,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7954,20669963_7954,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7952,20669964_7952,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7952,20669965_7952,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7952,20669966_7952,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7952,20669967_7952,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7952,20669968_7952,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7952,20669969_7952,Tarnów Dworzec Autobusowy,0,,,,
79238,263077_7953,20669970_7953,Nowy Sącz MDA,0,,,,
79238,263077_7953,20669971_7953,Nowy Sącz MDA,0,,,,
79238,263077_7953,20669972_7953,Nowy Sącz MDA,0,,,,
79238,263077_7953,20669973_7953,Nowy Sącz MDA,0,,,,
79238,263077_7952,20669974_7952,Nowy Sącz MDA,0,,,,
79238,263077_7952,20669975_7952,Nowy Sącz MDA,0,,,,
79238,263077_7952,20669976_7952,Nowy Sącz MDA,0,,,,
79238,263077_7952,20669977_7952,Nowy Sącz MDA,0,,,,
79238,263077_7952,20669978_7952,Nowy Sącz MDA,0,,,,
79238,263077_7952,20669979_7952,Nowy Sącz MDA,0,,,,
79238,263077_7954,20669980_7954,Nowy Sącz MDA,0,,,,
79238,263077_7954,20669981_7954,Nowy Sącz MDA,0,,,,
79238,263077_7954,20669982_7954,Nowy Sącz MDA,0,,,,
69094,265602_7953,20873339_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7953,20873340_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7953,20873341_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7953,20873342_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7953,20873343_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7953,20873344_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7953,20873345_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7953,20873346_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7953,20873347_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7953,20873348_7953,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7954,20873349_7954,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7954,20873350_7954,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7954,20873351_7954,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7954,20873352_7954,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7954,20873353_7954,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7954,20873354_7954,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7954,20873355_7954,Wieliczka Centrum Dworzec,0,,,,
69094,265602_7952,20873356_7952,Wieliczka Centrum Dworzec,0,,,,
